reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4d616bb2-1784-4b6c-9a28-9873e2d42e22,tazakacso naufal,https://play-lh.googleusercontent.com/a-/ALV-UjWUsczik2UXBIdcyo3jWjkjZXy7WHr03wCt1pE1jctBjCox3o6t,"Mau login aja di persulit sama sitem nya yang gangguan wow!!! Sangat membantu!!! Edit: wow di suruh update aplikasi sama pastiin jaringan stabil!? Segitu gua baru download aplikasi nya hari ini juga! Dan sinyal gua bagus,stabil,lancar, sampe bisa nonton YouTube 4k!!!!",1,36,3.27.09,2024-06-03 12:58:31,"Hi Kak, maaf banget udh bikin ga nyaman terkait kendala login. Mimin saranin, Pastiin udh update aplikasi, Pastiin jaringan km stabil, Clear Cache pada apk Shopee, Log out serta Log in kembali. Untuk pengecekan lebih lanjut boleh infokan ss kendala dan username ke DM IG @Shopee_id/@Shopeecare ya. stay safe🙏^CH",2024-06-03 12:40:15,3.27.09
9005254b-6648-4154-91f8-2dfab06905a5,Danar Analengpe,https://play-lh.googleusercontent.com/a-/ALV-UjXlfjN1peh24rP2AzNWToP5J0vTlXTITNHTHo6gkhu1Rxb41_k,"Ngebug bener! Cari barang ini yang keluar lain, campur aduk dengan barang lainnya pula. Setel harga paling murah malah yang mahal² keluar paling atas, nyampur lagi. Terus ga bisa kembali ke halaman sebelumnya lewat tombol back, harus banget pakai tanda panah di aplikasi. Tolong diperbaiki",1,141,3.27.09,2024-06-01 13:57:40,"Hai kak mohon maaf ya terkait kendala aplikasinya, akan menjadi masukan agar kedepannya bisa lebih baik lagi,  aku saranin kamu bisa clear cache, update aplikasi Shopee, internet yang stabil, dan lakukan berkala 1x24 jam. utk di bantu boleh di infokan screeenshot kendala dan review ini di DM IG shopee_id. stay safe ^MY",2024-06-01 14:31:23,3.27.09
460042bf-aea7-44ba-a62c-6db2b607e826,Hana,https://play-lh.googleusercontent.com/a/ACg8ocJkfd0cdymrpMEwuXJfoP8QpsnvTEDO_JBbw1zR_J0j-0cIVpU=mo,"Biasanya saya update app shopee 2 bulan sekali tp selama event 6.6 udah 3x update gegara awalnya halaman poin 6 miliar hadiah gratis ga kebuka di hp saya (padahal di hp kentang bisa) tp setelah di update tetep ga kebuka juga. Malahan sekarang kalo shopee ngelag, tombol back hp ikutan delay. Saya rutin update berharap kendala bisa teratasi tenyata malah nambah keluhannya.",3,16,3.27.09,2024-06-02 15:25:51,"Hi kak, maaf ya atas kendalanya. Terkait kendala aplikasi Shopee kamu, Mimin saranin untuk memperbarui aplikasi Shopee kamu, pastiin jaringan internet stabil, clear cache, logout lalu login kmbali, coba secara berkala dlm wkt 1x24 jam . klo masih terkendala jgn ragu untuk chat mimin via DM Twitter @ShopeeCare ya. Terima kasih 🙏🏻^QB",2024-06-02 17:08:50,3.27.09
3d7fab29-7bab-4865-b34b-4fbfa74d6168,Ndank Syarifudin,https://play-lh.googleusercontent.com/a-/ALV-UjVb527wT5sx-BUBHJXwO4Xy1CadPdcSCxk3GXyeyYBL7oNCn866,"aplikasinya bagus sih,cuma terlalu berat makan tempat di hp yg ram kentang,kalo mau belanja susah buat masuk,terkadang sulit buat masuk..tolong donk lebih di perhatikan lagi hal2 yg seperti ini...terimakasih.",4,112,3.27.09,2024-06-03 03:23:00,"Hi kak maaf ya terkait kendala Aplikasi , mimin saranin kakak untuk Clear Cache dan menunggu 1x24jam. jika kakak masih terkendala setelah 1x24jam bisa infoin Username dan kendala melalui DM ke @ShopeeID @ShopeeCare. Sehat selalu 🙏 ^JP",2024-06-03 04:18:11,3.27.09
dc7a77bc-477c-49ff-8f4a-e93656398181,Tina Wahyuni,https://play-lh.googleusercontent.com/a-/ALV-UjVD_Y5xDtSXc_-ABoiCUfrwT-mE_5WW_c0MnZxvZLCJ66v9mOU,"Dulu bisa pilih jasa ekspedisi, kemudian otomatis di pilihkan, cuman kenapa harus spx**, masalahnya tempat ku yang terpelosok ini tidak ada jasa tersebut, paketku gagal nyampe terus, lama-lama ganti ke app sebelah. 😭😭😭",5,138,3.27.09,2024-06-02 05:59:42,,,3.27.09
e2eaf741-224e-45f4-90d9-c8a05fcb930b,Farida Zakiyah,https://play-lh.googleusercontent.com/a/ACg8ocKIMdveHaSufP4NWKSkw4EAd_cTe1GWzI_VMhtbZrV6jHs-jA=mo,"Shopee kenapa sih sekarang kalo pembayaran shopeepay juga ada biaya penanganan,dulu cod aja yang ada penanganan,knp sekarang pembayaran shopeepay juga ada,trs dulu bisa langsung check out 3 barang sekaligus, sekarang tetap bisa juga sih tapi pasti salah satunya ada ongkirnya ,mohon diperbaiki lagi 🙏,jadi nyesel update aplikasinya🥲",2,45,3.27.09,2024-06-01 14:27:05,"Hai kak, maaf ya buat gk nyaman. Hal ini akan menjadi pelajaran buat Mimin dan Shopee kedepannya, agar kedepannya Mimin dan Shopee bisa lebih baik lagi dalam memberikan pelayanan, jika kakak ada kendala bisa infoin detail nya ke DM sosmed Shopee Indonesia ya, met malam^HG",2024-06-01 15:18:03,3.27.09
4ac324cc-2d1a-4d0d-82b8-01f2c40d6531,RIDHO FIRMAN,https://play-lh.googleusercontent.com/a-/ALV-UjXGmE2Nv4zYfCx_F47XfQRyuetfm97NPUfh631J202SwlWBnHGn,Bagus...mempermudah untuk beli barang yang diinginkan dan mudah di operasikan👍. Tapi terkadang suka tiba-tiba ngelag padahal ruang penyimpanan masih banyak saya mohon untuk developer segera memperbaikinya terima kasih....,4,269,3.27.09,2024-06-02 11:53:20,"Hi kak maaf untuk kendalanya, mhon utk perbarui aplikasi, pastiin jaringan internet stabil, clear cache, Logout kemudian Login kembali dan silakan coba berkala dlm 1x24 jam ya kak. Mohon hubungi kami dgn mmberikan screenshot review ini melalui Live Chat atau DM ke Media Sosial @Shopee_id / @Shopeecare. Terimakasih🙏^YJ",2024-06-02 12:44:10,3.27.09
4fd11f69-7e02-44f3-99b7-0ac26733222a,Nora Arseta,https://play-lh.googleusercontent.com/a-/ALV-UjXYba6j1q7TS28og3TcFEYmreVb1YzKJXyAiP0qM54XOUCD76w,"Shopee performanya menurun sih kalau menurutku, suka nglag, terkadang gambar gak muncul, loading ya masya allah lama. Terus app ya semakin berat, jadi lemot mau CO padahal sinyal OK. Tapi, barang yang dipesan alhamdulillah selalu sesuai waktu dan selama di shopee juga ketemu kurir yang bagus dan baik semua.",4,12066,3.21.16,2024-03-24 21:51:34,,,3.21.16
c9077e96-7477-4b90-90de-3cfdfb40ae2c,Edy Thuggery,https://play-lh.googleusercontent.com/a-/ALV-UjXuDLlFXJcNUqQDjqa0DCvc1_lf4ZweADz7vDu89BV09yeSwCia,"Baru kali ini sy pake Shopee dan pembayarannya gagal terus, padahal uang sudah masuk tapi statusnya masih belum bayar, alhasil barangnya dibatalkan otomatis sama pihak shopee, sudah lapor sampai 3x jawabannya sama, cuman disuruh nunggu info terus udah 3 hari masih gak ada kepastian uang sy gak balik dan laporan sy tiba2 terselesaikan, dan gak ada kejelasan apapun.",1,27,3.27.09,2024-06-01 15:14:29,,,3.27.09
96fd58bf-39b7-4564-9284-86d476f53f1a,Faiz Gustiana,https://play-lh.googleusercontent.com/a-/ALV-UjUcLf9vGZYT0nbo1qwAyC_IbrFUoL0bPwk7pFOVbp8hYgUmsJXA,"Shopee reguler juga shopee lite masih saja tidak bisa berjalan dengan semestinya di device saya. Sebelumnya aman aman saja, begitu setelah update, semuanya jadi kacau. Kompatibilitas aplikasi dengan device jadi ngawur, saya pake poco x3 nfc , ver os Q 10, snapdragon 732g. Tolong kepada developer aplikasi untuk segera fix bug yang mengganggu ini, jangan berfokus kpd ver android terbaru, versi android lama juga perlu dperhatikan, terutama stabilisasi dan min APi nya",1,329,3.26.17,2024-05-27 08:06:52,"Hai kak, maaf ya atas ketidaknyamanan km. Kedepannya Shopee akan selalu meningkatkan performa dan layanannya agar km nyaman. Saran dan masukan km tentunya akan ditampung untuk menjadikan Shopee lebih baik lagi ya kak. Kalo ada terkendala boleh chat mimin melalui Live Chat atau DM ke Social Media kita @Shopeecare ya. Stay safe 🙏 ^XT",2024-05-27 09:33:49,3.26.17
